#Aurora Hemispheric Power Tabular Values
# Product: Ovation Aurora Short Term Forecast    http://services.swpc.noaa.gov/text/aurora-nowcast-hemi-power.txt
# Timestamp is the valid time of a 30 minute forecast
# This file contains data for 2024-03-03
#
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center.
# Please send comments and suggestions to SWPC.CustomerSupport@noaa.gov
#
# Missing Data:  (n/a)
# Cadence:   5 minutes
#
# Tabular Data Format
#
# Observation        Forecast            North-Hemispheric-Power-Index    South-Hemispheric-Power-Index-GigaWatts
# YYYY-MM-DD_HH:MM   YYYY-MM-DD_HH:MM    GigaWatts    			  GigaWatts
#------------------------------------------------------------------------------------------------
2024-03-03_08:55    2024-03-03_10:21      11      11
2024-03-03_09:00    2024-03-03_10:26      12      12
2024-03-03_09:05    2024-03-03_10:31      12      12
2024-03-03_09:10    2024-03-03_10:36      13      13
2024-03-03_09:15    2024-03-03_10:41      14      14
2024-03-03_09:20    2024-03-03_10:47      14      14
2024-03-03_09:25    2024-03-03_10:52      14      14
2024-03-03_09:30    2024-03-03_10:59      15      15
2024-03-03_09:35    2024-03-03_11:04      15      15
2024-03-03_09:40    2024-03-03_11:11      15      15
2024-03-03_09:45    2024-03-03_11:15      15      15
2024-03-03_09:50    2024-03-03_11:20      15      15
2024-03-03_09:55    2024-03-03_11:26      15      15
2024-03-03_10:00    2024-03-03_11:31      15      15
2024-03-03_10:05    2024-03-03_11:36      16      15
2024-03-03_10:10    2024-03-03_11:42      16      16
2024-03-03_10:15    2024-03-03_11:47      16      16
2024-03-03_10:20    2024-03-03_11:51      17      16
2024-03-03_10:25    2024-03-03_11:56      17      17
2024-03-03_10:30    2024-03-03_11:59      18      17
2024-03-03_10:35    2024-03-03_12:05      18      18
2024-03-03_10:40    2024-03-03_12:10      19      19
2024-03-03_10:45    2024-03-03_12:15      20      19
2024-03-03_10:50    2024-03-03_12:19      19      19
2024-03-03_10:55    2024-03-03_12:24      18      18
2024-03-03_11:00    2024-03-03_12:29      19      18
2024-03-03_11:05    2024-03-03_12:34      19      19
2024-03-03_11:10    2024-03-03_12:39      20      20
2024-03-03_11:15    2024-03-03_12:44      21      21
2024-03-03_11:20    2024-03-03_12:48      22      21
2024-03-03_11:25    2024-03-03_12:53      22      21
2024-03-03_11:30    2024-03-03_12:59      23      22
2024-03-03_11:35    2024-03-03_13:04      24      23
2024-03-03_11:40    2024-03-03_13:09      25      24
2024-03-03_11:45    2024-03-03_13:14      27      26
2024-03-03_11:50    2024-03-03_13:18      29      28
2024-03-03_11:55    2024-03-03_13:22      31      30
2024-03-03_12:00    2024-03-03_13:25      34      32
2024-03-03_12:05    2024-03-03_13:29      37      34
2024-03-03_12:10    2024-03-03_13:33      40      37
2024-03-03_12:15    2024-03-03_13:36      42      40
2024-03-03_12:20    2024-03-03_13:40      45      42
2024-03-03_12:25    2024-03-03_13:44      48      45
2024-03-03_12:30    2024-03-03_13:48      50      46
2024-03-03_12:35    2024-03-03_13:51      51      48
2024-03-03_12:40    2024-03-03_13:55      53      49
2024-03-03_12:45    2024-03-03_13:59      54      50
2024-03-03_12:50    2024-03-03_14:03      55      51
2024-03-03_12:55    2024-03-03_14:08      56      52
2024-03-03_13:00    2024-03-03_14:13      57      53
2024-03-03_13:05    2024-03-03_14:18      58      54
2024-03-03_13:10    2024-03-03_14:23      59      55
2024-03-03_13:15    2024-03-03_14:27      61      57
2024-03-03_13:20    2024-03-03_14:32      62      58
2024-03-03_13:25    2024-03-03_14:37      63      59
2024-03-03_13:30    2024-03-03_14:43      64      59
2024-03-03_13:35    2024-03-03_14:48      64      60
2024-03-03_13:40    2024-03-03_14:53      65      60
2024-03-03_13:45    2024-03-03_14:57      66      61
2024-03-03_13:50    2024-03-03_15:02      66      62
2024-03-03_13:55    2024-03-03_15:06      68      63
2024-03-03_14:00    2024-03-03_15:11      75      75
2024-03-03_14:05    2024-03-03_15:16      75      75
2024-03-03_14:10    2024-03-03_15:21      76      76
2024-03-03_14:15    2024-03-03_15:26      77      77
2024-03-03_14:20    2024-03-03_15:31      78      78
2024-03-03_14:25    2024-03-03_15:36      79      79
2024-03-03_14:30    2024-03-03_15:41      80      80
2024-03-03_14:35    2024-03-03_15:45      81      81
2024-03-03_14:40    2024-03-03_15:50      82      82
2024-03-03_14:45    2024-03-03_15:55      83      83
2024-03-03_14:50    2024-03-03_16:00      84      84
2024-03-03_14:55    2024-03-03_16:06      85      85
2024-03-03_15:00    2024-03-03_16:11      86      86
2024-03-03_15:05    2024-03-03_16:15      86      86
2024-03-03_15:10    2024-03-03_16:20      87      87
2024-03-03_15:15    2024-03-03_16:25      88      88
